Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:469001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
469001;1;01/12/2025;1;"190,3";"498,6";2;25;1;1;1;;0;"32,5";"190,3";"10,3";"0,0";"11,4";"0,2";"10,3";"28,0";"21,5";"0,0";"0,4";"0,0";"0,2";"4,1";"8,3";"7,1";"5,0";"75,9";"22,3";"0,1";"0,0";"3,7";"0,0";"3,6";"20,7";"5,0";"20,3";"8,0";"2,7";"6,7";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
469001;1;01/11/2025;1;"112,5";"330,3";23;17;1;1;1;;0;"0,0";"0,0";"1,5";"0,3";"6,7";"0,0";"5,7";"5,2";"0,0";"41,5";"5,2";"0,0";"0,0";"0,0";"14,8";"0,0";"0,3";"0,0";"37,8";"0,1";"0,0";"0,0";"112,5";"23,5";"0,0";"0,0";"13,1";"33,4";"8,2";"20,5";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
469001;1;01/10/2025;1;"33,5";"205,2";1;20;1;1;1;;0;"33,5";"1,3";"0,0";"0,0";"0,0";"7,3";"0,0";"7,3";"0,0";"2,1";"0,0";"0,9";"4,7";"0,0";"5,7";"5,7";"7,8";"22,7";"0,0";"0,3";"0,0";"0,0";"29,7";"21,2";"21,8";"2,0";"0,0";"12,5";"5,2";"12,4";"1,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
469001;1;01/09/2025;1;"66,5";"264,0";26;16;1;1;1;;0;"34,8";"0,4";"0,0";"15,7";"0,0";"1,4";"11,4";"0,0";"11,4";"0,0";"11,1";"13,2";"1,1";"0,0";"0,0";"1,7";"28,7";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"34,0";"66,5";"0,0";"0,0";"16,0";"16,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
469001;1;01/08/2025;1;"39,0";"82,0";6;10;1;1;1;;0;"0,0";"0,0";"8,2";"0,4";"0,0";"39,0";"0,0";"0,0";"0,0";"0,0";"8,9";"0,0";"0,0";"0,0";"7,6";"0,0";"0,4";"2,9";"0,0";"0,0";"0,0";"13,3";"0,4";"0,0";"0,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
469001;1;01/07/2025;1;"45,6";"194,1";29;9;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"18,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"39,1";"33,7";"0,0";"0,0";"0,0";"0,0";"36,5";"0,0";"0,0";"6,1";"0,0";"0,0";"45,6";"13,3";"1,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
469001;1;01/06/2025;1;"36,9";"158,2";23;14;1;1;1;;0;"0,0";"0,2";"0,3";"0,0";"32,9";"14,6";"0,0";"2,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,5";"0,0";"24,7";"0,1";"3,1";"0,0";"0,0";"14,3";"36,9";"0,0";"0,0";"10,5";"16,0";"0,0";"0,2";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
469001;1;01/05/2025;1;"38,8";"225,5";27;17;1;1;1;;0;"0,0";"0,4";"2,7";"17,2";"1,4";"0,0";"0,0";"0,0";"0,0";"0,0";"14,5";"0,0";"7,5";"5,2";"0,0";"12,5";"0,0";"17,6";"0,0";"13,2";"0,0";"18,2";"20,0";"0,0";"24,2";"15,1";"38,8";"0,0";"16,9";"0,1";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
469001;1;01/04/2025;1;"144,9";"342,5";2;20;1;1;1;;0;"11,1";"144,9";"0,6";"1,8";"34,8";"7,0";"0,1";"0,0";"26,3";"0,3";"6,9";"7,2";"0,5";"0,5";"0,0";"0,0";"0,0";"13,7";"8,6";"0,0";"0,0";"0,0";"0,0";"0,0";"20,1";"25,7";"0,2";"27,5";"0,0";"4,7";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
469001;1;01/03/2025;1;"89,9";"309,9";19;17;1;1;1;;0;"0,0";"0,0";"12,4";"7,3";"17,4";"4,4";"1,1";"0,0";"0,0";"0,0";"0,0";"0,0";"6,0";"1,0";"53,2";"27,3";"0,2";"0,7";"89,9";"0,0";"0,0";"14,4";"0,0";"0,0";"0,0";"7,4";"0,0";"0,1";"0,0";"37,8";"29,3";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
